51200 
 0.099000
C 0 0.0035 5.20643 4.54297 2.91308 5.27424 4.61884 2.98262
C 1 0.0035 2.53021 3.84042 1.79925 2.41629 3.64132 1.738
C 2 0.0035 4.05208 3.39425 1.06089 3.96391 3.32862 1.05601
C 3 0.0035 5.45997 4.15313 6.22699 5.42496 4.22765 6.17532
C 4 0.0035 5.74748 6.35302 1.71548 5.62847 6.17705 1.66201
C 5 0.0035 1.86574 4.54124 3.39103 1.80142 4.58546 3.43986
C 6 0.0035 2.76169 1.82443 1.90035 2.9138 2.00314 1.92928
C 7 0.0035 4.5926 5.80688 3.48087 4.64231 5.72955 3.45815
C 8 0.0035 5.50046 4.29577 4.52155 5.67977 4.23243 4.46471
C 9 0.0035 0.734432 5.06624 6.15269 0.699769 5.00944 6.24927
C 10 0.0035 0.300632 5.20688 0.4419 0.247078 5.06459 0.403248
C 11 0.0035 1.87824 2.32311 1.0512 1.8255 2.43887 1.04712
C 12 0.0035 5.91623 3.49592 0.563758 5.88955 3.57697 0.527091
C 13 0.0035 4.1598 2.38603 0.208443 4.13981 2.44643 0.287135
C 14 0.0035 5.96589 5.0561 2.55429 5.86912 5.19722 2.42482
C 15 0.0035 4.85511 3.0493 2.40303 4.9527 3.23432 2.3358
C 16 0.0035 6.2288 2.30423 4.97352 6.22198 2.19939 5.11177
C 17 0.0035 5.89331 5.95349 2.09391 5.80937 6.03113 2.02897
C 18 0.0035 5.17989 5.33566 2.80046 5.09698 5.30657 2.68444
C 19 0.0035 2.12184 5.31737 2.22916 2.1792 5.39028 2.2585
C 20 0.0035 0.802796 3.21647 2.45878 1.03249 3.22695 2.46059
C 21 0.0035 3.66283 1.16171 4.49376 3.55109 1.16396 4.55897
C 22 0.0035 4.60761 4.56762 5.39491 4.68712 4.65158 5.45261
C 23 0.0035 4.05729 2.2578 4.51781 4.05212 2.39074 4.51929
C 24 0.0035 1.99035 0.0834764 2.40767 2.08178 0.0602773 2.42398
C 25 0.0035 2.31368 5.88036 2.58672 2.39438 5.82545 2.53756
C 26 0.0035 1.74824 4.51942 3.16874 1.82889 4.45613 3.20018
C 27 0.0035 4.04601 3.94277 1.24885 4.08659 4.06064 1.14537
C 28 0.0035 5.25163 1.00141 3.89991 5.30158 1.14918 3.78868
C 29 0.0035 1.56021 3.13534 3.39819 1.64789 2.93374 3.29412
C 30 0.0035 2.04896 0.70127 2.84134 1.9725 0.669215 2.93077
C 31 0.0035 0.797331 5.7426 3.79372 0.888849 5.81685 3.74008
C 32 0.0035 2.5724 0.289714 4.89341 2.64888 0.229629 4.84856
C 33 0.0035 3.90201 1.49419 0.905371 3.92423 1.57102 0.991047
C 34 0.0035 4.55295 2.24275 3.12788 4.69506 2.33061 3.2866
C 35 0.0035 4.5786 3.78455 4.09604 4.48362 3.84485 3.93884
